diff_s,model,GPU,fps
0.0252,YORU,4080,100fps
0.0236,YORU,4080,100fps
0.024,YORU,4080,100fps
0.0236,YORU,4080,100fps
0.0188,YORU,4080,100fps
0.0304,YORU,4080,100fps
0.0236,YORU,4080,100fps
0.0488,YORU,4080,100fps
0.055200000000000006,YORU,4080,100fps
0.0284,YORU,4080,100fps
0.0256,YORU,4080,100fps
0.022000000000000002,YORU,4080,100fps
0.028800000000000003,YORU,4080,100fps
0.0252,YORU,4080,100fps
0.0448,YORU,4080,100fps
0.0364,YORU,4080,100fps
0.044000000000000004,YORU,4080,100fps
0.0376,YORU,4080,100fps
0.04,YORU,4080,100fps
0.0328,YORU,4080,100fps
0.048400000000000006,YORU,4080,100fps
0.050800000000000005,YORU,4080,100fps
0.0228,YORU,4080,100fps
