id,movie_name,light,group,gal4,uas,init_frame_count,cop_frame_count,courtship_duration_sec,event,duration_frame
91,240627_CTR_16_1sec_latency_pIP10_20xGFP_2mwcm_wing_extension_data_20240627-134320_733682.log_vid.avi,later,pIP10_GFP_later,pIP10,GFP,1603,62374,622.6547361,1,60771
92,240627_CTR_17_1sec_latency_pIP10_GtACR1_2mwcm_wing_extension_data_20240627-135716_461610.log_vid.avi,later,pIP10_GtACR1_later,pIP10,GtACR1,769,48160,485.5644153,1,47391
93,240627_CTR_18_1sec_latency_pIP10_GtACR1_2mwcm_wing_extension_data_20240627-141125_636340.log_vid.avi,later,pIP10_GtACR1_later,pIP10,GtACR1,868,46777,470.3800598,1,45909
94,240627_CTR_19_1sec_latency_pIP10_GtACR1_2mwcm_wing_extension_data_20240627-142432_137762.log_vid.avi,later,pIP10_GtACR1_later,pIP10,GtACR1,772,57624,582.5010871,1,56852
95,240627_CTR_20_1sec_latency_pIP10_GtACR1_2mwcm_wing_extension_data_20240627-154554_632264.log_vid.avi,later,pIP10_GtACR1_later,pIP10,GtACR1,769,33959,340.0620283,1,33190
96,240627_CTR_21_1sec_latency_pIP10_GtACR1_2mwcm_wing_extension_data_20240627-160606_022597.log_vid.avi,later,pIP10_GtACR1_later,pIP10,GtACR1,0,7895,80.8910671,1,7895
97,240627_CTR_22_1sec_latency_pIP10_GtACR1_2mwcm_wing_extension_data_20240627-161338_331449.log_vid.avi,later,pIP10_GtACR1_later,pIP10,GtACR1,717,24451,243.1768247,1,23734
98,240627_CTR_23_1sec_latency_pIP10_GtACR1_2mwcm_wing_extension_data_20240627-162551_258576.log_vid.avi,later,pIP10_GtACR1_later,pIP10,GtACR1,961,32280,320.8917491,1,31319
99,240627_CTR_112_1sec_latency_pIP10_20xGFP_2mwcm_wing_extension_data_20240627-125600_905619.log_vid.avi,later,pIP10_GtACR1_later,pIP10,GtACR1,3012,32547,302.6132502,1,29535
100,240627_EXP_24_0sec_latency_pIP10_GtACR1_2mwcm_wing_extension_data_20240627-163434_909682.log_vid.avi,event,pIP10_GtACR1_event,pIP10,GtACR1,1210,79557,802.7371271,1,78347
101,240627_EXP_25_0sec_latency_pIP10_GtACR1_2mwcm_wing_extension_data_20240627-163434_909682.log20240627-165820_663088.log_vid.avi,event,pIP10_GtACR1_event,pIP10,GtACR1,785,192470,1963.988388,0,191685
