id,movie_name,condition,light,group,gal4,init_timie_min,init_timie_sec,cop_timie_min,cop_timie_sec,latency,event
1,ATR_03_green150_fly_specific_231211_wing_extension_JO15_GtACR1.mp4,ATR,spe,jo15_ATR_spe,jo15,0,7,31,7,1860,0
2,ATR_04_green150_fly_specific_231211_wing_extension_JO15_GtACR1.mp4,ATR,spe,jo15_ATR_spe,jo15,0,20,31,20,1860,0
3,ATR_08_green150_fly_specific_231211_wing_extension_JO15_GtACR1.mp4,ATR,spe,jo15_ATR_spe,jo15,0,14,5,30,316,1
4,ATR_11_green150_fly_specific_231211_wing_extension_JO15_GtACR1.mp4,ATR,spe,jo15_ATR_spe,jo15,0,37,4,0,203,1
5,ATR_12_green150_fly_specific_231211_wing_extension_JO15_GtACR1.mp4,ATR,spe,jo15_ATR_spe,jo15,0,29,3,17,168,1
6,ATR_13_green150_fly_specific_231211_wing_extension_JO15_GtACR1.mp4,ATR,spe,jo15_ATR_spe,jo15,0,19,29,22,1743,1
7,ATR_01_green150_patern_231212_wing_extension_JO15_GtACR1.mp4,ATR,pattern,jo15_ATR_pattern,jo15,0,39,5,5,266,1
8,ATR_02_green150_patern_231212_wing_extension_JO15_GtACR1.mp4,ATR,pattern,jo15_ATR_pattern,jo15,0,20,5,21,301,1
9,ATR_03_green150_fly_specific_231212_wing_extension_JO15_GtACR1.mp4,ATR,spe,jo15_ATR_spe,jo15,0,15,31,15,1860,0
10,ATR_03_green150_fly_specific_231212_wing_extension_JO15_GtACR1.mp4,ATR,spe,jo15_ATR_spe,jo15,0,35,15,43,908,1
11,ATR_17_green150_pattern_231215_wing_extension_JO15_GtACR1.mp4,ATR,pattern,jo15_ATR_pattern,jo15,0,13,9,19,546,1
12,ATR_16_green150_pattern_231215_wing_extension_JO15_GtACR1.mp4,ATR,pattern,jo15_ATR_pattern,jo15,0,11,2,27,136,1
13,ATR_15_green150_fly_specific_231215_wing_extension_JO15_GtACR1.mp4,ATR,spe,jo15_ATR_spe,jo15,0,0,31,0,1860,0
14,ATR_14_green150_fly_specific_231215_wing_extension_JO15_GtACR1.mp4,ATR,spe,jo15_ATR_spe,jo15,0,19,31,19,1860,0
15,ATR_09_green150_fly_specific_231215_wing_extension_JO15_GtACR1.mp4,ATR,spe,jo15_ATR_spe,jo15,0,22,21,17,1255,1
16,ATR_07_green150_fly_specific_231215_wing_extension_JO15_GtACR1.mp4,ATR,spe,jo15_ATR_spe,jo15,0,3,17,56,1073,1
17,ATR_06_green150_fly_specific_231215_wing_extension_JO15_GtACR1.mp4,ATR,spe,jo15_ATR_spe,jo15,0,22,31,22,1860,0
18,ATR_05_green150_fly_specific_231215_wing_extension_JO15_GtACR1.mp4,ATR,spe,jo15_ATR_spe,jo15,0,15,7,40,445,1
19,ATR_04_green150_fly_specific_231215_wing_extension_JO15_GtACR1.mp4,ATR,spe,jo15_ATR_spe,jo15,0,3,31,3,1860,0
20,ATR_03_green150_fly_specific_231215_wing_extension_JO15_GtACR1.mp4,ATR,spe,jo15_ATR_spe,jo15,0,19,16,40,981,1
21,ATR_01_green150_fly_specific_231225_wing_extension_JO15_GtACR1.mp4,ATR,spe,jo15_ATR_spe,jo15,0,0,31,0,1860,0
22,ATR_06_green150_fly_specific_231225_wing_extension_JO15_GtACR1.mp4,ATR,spe,jo15_ATR_spe,jo15,0,40,13,38,778,1
23,ATR_07_green150_fly_specific_231225_wing_extension_JO15_GtACR1.mp4,ATR,spe,jo15_ATR_spe,jo15,0,8,31,8,1860,0
24,ATR_08_green150_fly_specific_231225_wing_extension_JO15_GtACR1.mp4,ATR,spe,jo15_ATR_spe,jo15,0,0,31,0,1860,0
